time_s,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6
0.000000000000000000e+00,3.804964273917990081e-01,-2.123761160006770038e-02,-3.239228190795240270e-01,2.383402286978900166e-09,-1.268108665265869961e+00,-3.805142693487629790e-01,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.219940889759051310e-06,-1.618169792789714618e-05,-2.706986194617496191e-02,-1.828627711005039184e-09,2.705189935422112890e-02,5.727035482641028749e-06
2.875543426902122095e-03,3.804964274216390274e-01,-2.123761166694442329e-02,-3.239229309591766803e-01,2.383394729266189214e-09,-1.268108553460454369e+00,-3.805142693250931352e-01,2.075087300393598100e-08,-4.650487138597215557e-08,-7.780164032254494218e-05,-5.255669378963792145e-12,7.775001697355265573e-05,1.646010511528459231e-08,7.212721014107199419e-06,-1.616234726290278546e-05,-2.704278897367994733e-02,-1.826799222571854429e-09,2.702484751326940729e-02,5.721308496343474481e-06
5.751086853804244191e-03,3.804964275111191729e-01,-2.123761186745919127e-02,-3.239232664488864155e-01,2.383372066207214484e-09,-1.268108218193330972e+00,-3.805142692541152449e-01,4.148098512909882384e-08,-9.294499561503358549e-08,-1.555254222013368248e-04,-1.050608126008631799e-11,1.554222453714569348e-04,3.290374217390005805e-08,7.205501268556602954e-06,-1.613666631739887937e-05,-2.701570978761358086e-02,-1.824971012306924121e-09,2.699779578899547464e-02,5.715581608131438497e-06
8.626630280706365853e-03,3.804964276601798256e-01,-2.123761220139966377e-02,-3.239238253247422317e-01,2.383334312918990771e-09,-1.268107659688183286e+00,-3.805142691358766593e-01,6.219033674865186137e-08,-1.393021754368090263e-07,-2.331713277746742178e-04,-1.575123644280478742e-11,2.330166855291717655e-04,4.933091145717180072e-08,7.198281652419675296e-06,-1.610465695547791629e-05,-2.698862438984675483e-02,-1.823143079975721880e-09,2.697074418140630106e-02,5.709854817479747665e-06
1.150217370760848838e-02,3.804964278687613111e-01,-2.123761266850114626e-02,-3.239246073627816136e-01,2.383281484516232065e-09,-1.268106878168695051e+00,-3.805142689704247294e-01,8.287892823354123826e-08,-1.855582006083315823e-07,-3.107393391682602437e-04,-2.099113572654342099e-11,3.105333377825539244e-04,6.574161324472765066e-08,7.191062164842123578e-06,-1.606630829141101715e-05,-2.696153276976284360e-02,-1.821315425803202986e-09,2.694369269077120585e-02,5.704128123733059369e-06
1.437771713451061091e-02,3.804964281368038992e-01,-2.123761326844653130e-02,-3.239256123389908093e-01,2.383213596111355278e-09,-1.268105873858547339e+00,-3.805142687578067506e-01,1.035467599520182275e-07,-2.316948113604903804e-07,-3.882294384594205442e-04,-2.622577991203005893e-11,3.879722024686092525e-04,8.213584781412496547e-08,7.183842804804122674e-06,-1.602159677940846079e-05,-2.693443490434558468e-02,-1.819488050470570528e-09,2.691664131761994580e-02,5.698401526106788166e-06
1.725326056141273171e-02,3.804964284642478045e-01,-2.123761400086608686e-02,-3.239268400293042749e-01,2.383130662814467417e-09,-1.268104646981421890e+00,-3.805142684980700740e-01,1.241938322691651070e-07,-2.776936621222434671e-07,-4.656416076415739757e-04,-3.145516980260350315e-11,4.653332799262396434e-04,9.851361544048029124e-08,7.176623571121495111e-06,-1.597048630313998045e-05,-2.690733075826673079e-02,-1.817660955112050012e-09,2.688959006274090763e-02,5.692675023688013804e-06
2.012880398831485423e-02,3.804964288510334636e-01,-2.123761486533716145e-02,-3.239282902096045080e-01,2.383032699733363109e-09,-1.268103197760998224e+00,-3.805142681912621616e-01,1.448201455464239113e-07,-3.235362855019039939e-07,-5.429758285889536460e-04,-3.667930620551152035e-11,5.426165704969828762e-04,1.148749163961014856e-07,7.169404462446876592e-06,-1.591292826501502814e-05,-2.688022028397351812e-02,-1.815834141311671837e-09,2.686253892717924141e-02,5.686948615436397712e-06
2.300434741521697676e-02,3.804964292971011464e-01,-2.123761586138377469e-02,-3.239299626557219924e-01,2.382919721973507638e-09,-1.268101526420956082e+00,-3.805142678374302534e-01,1.654257001411291477e-07,-3.692040565248125546e-07,-6.202320830215823054e-04,-4.189818993319975091e-11,6.198220745257501706e-04,1.312197509501229444e-07,7.162185477270884899e-06,-1.584886167522332870e-05,-2.685310342177588475e-02,-1.814007611100065768e-09,2.683548791223507035e-02,5.681222300185102876e-06
2.587989084211910276e-02,3.804964298023911229e-01,-2.123761698847612817e-02,-3.239318571434338101e-01,2.382791744638020818e-09,-1.268099633184973207e+00,-3.805142674366217559e-01,1.860104964060435689e-07,-4.146781571267035720e-07,-6.974103524704940681e-04,-4.711182180459122491e-11,6.969497923615552591e-04,1.475481193681428597e-07,7.154966613923297266e-06,-1.577821324053588274e-05,-2.682598009993342192e-02,-1.812181366951260152e-09,2.680843701946163463e-02,5.675496076641695934e-06
2.875543426902122182e-02,3.804964303668437742e-01,-2.123761824602999129e-02,-3.239339734484640854e-01,2.382648782827657141e-09,-1.268097518276726232e+00,-3.805142669888839646e-01,2.065745346888970433e-07,-4.599395409020790246e-07,-7.745106182432084279e-04,-5.232020264635685653e-11,7.739997243582393384e-04,1.638600219118635351e-07,7.147747870574206586e-06,-1.570089745286667941e-05,-2.679885023474214145e-02,-1.810355411779494385e-09,2.678138625066346645e-02,5.669769943389065353e-06
3.163097769592333741e-02,3.804964309903993702e-01,-2.123761963340598316e-02,-3.239363113464827082e-01,2.382490851640780131e-09,-1.268095181919891790e+00,-3.805142664942642861e-01,2.271178153319295008e-07,-5.049688981069028379e-07,-8.515328613894544534e-04,-5.752333329417669423e-11,8.509718708751924437e-04,1.801554588387340969e-07,7.140529245235169132e-06,-1.561681667759539339e-05,-2.677171373062094129e-02,-1.808529748936031370e-09,2.675433560789456863e-02,5.664043898886308276e-06
3.450652112282546341e-02,3.804964316729981810e-01,-2.123762114990879538e-02,-3.239388706131046125e-01,2.382317966173338361e-09,-1.268092624338144736e+00,-3.805142659528100713e-01,2.476403386714364209e-07,-5.497466209149255270e-07,-9.284770626671391995e-04,-6.272121459399200718e-11,9.278662322780677207e-04,1.964344304015959181e-07,7.133310735760384482e-06,-1.552586124165127620e-05,-2.674457048019791144e-02,-1.806704382205990239e-09,2.672728509345664513e-02,5.658317941469658027e-06
3.738206454972758941e-02,3.804964324145805876e-01,-2.123762279478625184e-02,-3.239416510238888325e-01,2.382130141518829053e-09,-1.268089845755159484e+00,-3.805142653645686157e-01,2.681421050373178135e-07,-5.942527689269562759e-07,-1.005343202508568413e-03,-6.791384740324834389e-11,1.004682808939490494e-03,2.126969368483304907e-07,7.126092339847832230e-06,-1.542790952135851288e-05,-2.671742036439637286e-02,-1.804879315805178668e-09,2.670023470989724146e-02,5.652592069353369250e-06
4.025760797662970847e-02,3.804964332150868045e-01,-2.123762456722832342e-02,-3.239446523543379475e-01,2.381927392768266646e-09,-1.268086846394607559e+00,-3.805142647295873259e-01,2.886231147526311448e-07,-6.384670349323947702e-07,-1.082131260986910967e-03,-7.310123259212942069e-11,1.081421601239762349e-03,2.289429784215099455e-07,7.118874055040427345e-06,-1.532282803004320662e-05,-2.669026325252064902e-02,-1.803054554376938009e-09,2.667318446000797177e-02,5.646866280630614930e-06
4.313315140353182753e-02,3.804964340744573237e-01,-2.123762646636601428e-02,-3.239478743798964167e-01,2.381709735010144333e-09,-1.268083626480162041e+00,-3.805142640479133864e-01,3.090833681331469094e-07,-6.823687109223398085e-07,-1.158841217782913095e-03,-7.828337104478205996e-11,1.158082609567563041e-03,2.451725553580504303e-07,7.111655878727168745e-06,-1.521047150540235226e-05,-2.666309900234166419e-02,-1.801230102988994214e-09,2.664613434682270438e-02,5.641140573274389317e-06
4.600869483043395353e-02,3.804964349926321932e-01,-2.123762849127017183e-02,-3.239513168759497463e-01,2.381477183330390220e-09,-1.268080186235492901e+00,-3.805142633195943702e-01,3.295228654869074850e-07,-7.259366543535861610e-07,-1.235473052151853535e-03,-8.346026366053188705e-11,1.234665834320639727e-03,2.613856678888675258e-07,7.104437808144279401e-06,-1.509068299663495108e-05,-2.663592746018227791e-02,-1.799405967130319925e-09,2.661908437361576799e-02,5.635414945138400710e-06
4.888423825733607953e-02,3.804964359695519605e-01,-2.123763064095017875e-02,-3.239549796178231023e-01,2.381229752812324726e-09,-1.268076525884269667e+00,-3.805142625446775728e-01,3.499416071137897460e-07,-7.691492546628329495e-07,-1.312026742890749125e-03,-8.863191135509029026e-11,1.311171275906501286e-03,2.775823162385346541e-07,7.097219840376353225e-06,-1.496329395133550904e-05,-2.660874846100239402e-02,-1.797582152708005664e-09,2.659203454390019622e-02,5.629689393957955753e-06
5.175978168423820552e-02,3.804964370051568956e-01,-2.123763291435256176e-02,-3.239588623807800327e-01,2.380967458536607643e-09,-1.268072645650160757e+00,-3.805142617232102342e-01,3.703395933050703762e-07,-8.119844000304130045e-07,-1.388502268305800546e-03,-9.379831506175211372e-11,1.387598934743098115e-03,2.937625006249437350e-07,7.090001972357490936e-06,-1.482812430215025075e-05,-2.658156182848382676e-02,-1.795758666044135569e-09,2.656498486142591653e-02,5.623963917350854748e-06
