time_s,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6
0.000000000000000000e+00,-3.805063769847830124e-01,-2.124735102936699954e-02,-3.239302426678459801e-01,1.079656780397650018e-09,-1.268113436416790085e+00,3.805063764729429976e-01,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,8.873411621797683507e-16,-3.041611410329590171e-05,-8.960103927784493494e-02,3.019360846959969740e-11,8.957062316364251819e-02,-1.014447412731608012e-10
1.580355051360630026e-03,-3.805063769847830124e-01,-2.124735106733461124e-02,-3.239303545208344071e-01,1.079656818089684766e-09,-1.268113324601769287e+00,3.805063764729428866e-01,1.400829201383349303e-18,-4.803869121707723480e-08,-1.415306488702153796e-04,4.769276549513932362e-14,1.414826101788417101e-04,-1.602385267921089241e-13,8.849665413413963327e-16,-3.037519454766929829e-05,-8.951142792879900056e-02,3.016341892735503259e-11,8.948105273415229988e-02,-1.013432525836995201e-10
3.160710102721260052e-03,-3.805063769847830124e-01,-2.124735118116057378e-02,-3.239306899305870457e-01,1.079656931115525999e-09,-1.268112989305842486e+00,3.805063764729424980e-01,2.795560198388419873e-18,-9.599613229571905142e-08,-2.829196637153881706e-04,9.533782722166922711e-14,2.828236675827794475e-04,-3.203165961002509926e-13,8.796259670184835372e-16,-3.031329351211011356e-05,-8.942179598519719996e-02,3.013323752151403223e-11,8.939148269158611604e-02,-1.012416762255402054e-10
4.741065154081889645e-03,-3.805063769847830124e-01,-2.124735137069029209e-02,-3.239312486732459639e-01,1.079657119399795643e-09,-1.268112430752713404e+00,3.805063764729418319e-01,4.179517755710797695e-18,-1.438391755896573487e-07,-4.241670119992511814e-04,1.429351980629066095e-13,4.240231728231921610e-04,-4.802340696760949253e-13,8.713353141240054931e-16,-3.023041728106296141e-05,-8.933214345334461459e-02,3.010306429089440837e-11,8.930191303596461683e-02,-1.011400125881373641e-10
6.321420205442520104e-03,-3.805063769847830124e-01,-2.124735163571677202e-02,-3.239320305249021037e-01,1.079657382867134649e-09,-1.268111649166083765e+00,3.805063764729409992e-01,5.548054837103384082e-18,-1.915346500084470114e-07,-5.652726611628121258e-04,1.904848909980086590e-13,5.650811265121780591e-04,-6.399908099370649298e-13,8.601143900950163101e-16,-3.012652995014577088e-05,-8.924247029822565680e-02,3.007289931791683145e-11,8.921234376817661904e-02,-1.010382621245005559e-10
7.901775256803149697e-03,-3.805063769847830124e-01,-2.124735197598054057e-02,-3.239330352615947262e-01,1.079657721442205889e-09,-1.268110644769654849e+00,3.805063764729398335e-01,6.896558798182748628e-18,-2.390492945789396011e-07,-7.062365785592830073e-04,2.379869191706383225e-13,7.059975292639221684e-04,-7.995866800664246335e-13,8.459869070911271130e-16,-3.000155372316424729e-05,-8.915277644379503152e-02,3.004274272829766501e-11,8.912277488997298602e-02,-1.009364253507440575e-10
9.482130308163779289e-03,-3.805063769847830124e-01,-2.124735239116943772e-02,-3.239342626593114116e-01,1.079658135049692293e-09,-1.268109417787126825e+00,3.805063764729384457e-01,8.220457535358009415e-18,-2.863496924755167404e-07,-8.470587313894677953e-04,2.854412959571444938e-13,8.467723816960539716e-04,-9.590215441126496015e-13,8.289804542673933867e-16,-2.985536920833136242e-05,-8.906306177326775431e-02,3.001259469074247584e-11,8.903320640396052144e-02,-1.008345028456378975e-10
1.106248535952440888e-02,-3.805063769847830124e-01,-2.124735288091833194e-02,-3.239357124939878374e-01,1.079658623614299126e-09,-1.268107968442199640e+00,3.805063764729367803e-01,9.515225590999769925e-18,-3.334022055178279930e-07,-9.877390866376064421e-04,3.328480350342581183e-13,9.874056844309938782e-04,-1.118295267088090435e-12,8.091264701215405294e-16,-2.968781571369268692e-05,-8.897332612940857255e-02,2.998245541664038433e-11,8.894363831359593242e-02,-1.007324952501600288e-10
1.264284041088504021e-02,-3.805063769847830124e-01,-2.124735344480870730e-02,-3.239373845415070563e-01,1.079659187060751918e-09,-1.268106296958570800e+00,3.805063764729348930e-01,1.077639021496658672e-17,-3.801729091347789956e-07,-1.128277611007680011e-03,3.802071504463075848e-13,1.127897438097294654e-03,-1.277407715066934502e-12,7.864602149154491236e-16,-2.949869154175834083e-05,-8.888356931482048473e-02,2.995232515975927426e-11,8.885407062317976501e-02,-1.006304032670497023e-10
1.422319546224567154e-02,-3.805063769847830124e-01,-2.124735408236818127e-02,-3.239392785776994410e-01,1.079659825313800600e-09,-1.268104403559937809e+00,3.805063764729327835e-01,1.199953738260614449e-17,-4.266275277935157432e-07,-1.268674270860166778e-03,4.275186566719504261e-13,1.268247643330965447e-03,-1.436358755282452572e-12,7.610207431708256725e-16,-2.928775428334243642e-05,-8.879379109223264899e-02,2.992220421594174573e-11,8.876450333785024238e-02,-1.005282276603619529e-10
1.580355051360629939e-02,-3.805063769847830124e-01,-2.124735479306987321e-02,-3.239413943783419625e-01,1.079660538298217440e-09,-1.268102288469996841e+00,3.805063764729303966e-01,1.318031776934848164e-17,-4.727313708921538813e-07,-1.408929032149252615e-03,4.747825686904275378e-13,1.408456300776796469e-03,-1.595148256223553370e-12,7.328508762389879026e-16,-2.905472111061068404e-05,-8.870399118478720923e-02,2.989209292280194057e-11,8.867493646357746395e-02,-1.004259692550234812e-10
1.738390556496692899e-02,-3.805063769847830124e-01,-2.124735557633170013e-02,-3.239437317191571908e-01,1.079661325938798483e-09,-1.268099951912443624e+00,3.805063764729277320e-01,1.431445268200818945e-17,-5.184492691150027044e-07,-1.549041860360500424e-03,5.219989020473381222e-13,1.548523411089664480e-03,-1.753776087730629696e-12,7.019971749446838742e-16,-2.879926906933706580e-05,-8.861416927632569107e-02,2.986199165942320782e-11,8.858537000715711873e-02,-1.003236289363894653e-10
1.896426061632755858e-02,-3.805063769847830124e-01,-2.124735643151559952e-02,-3.239462903758129064e-01,1.079662188160365215e-09,-1.268097394110971665e+00,3.805063764729248454e-01,1.539773994691262070e-17,-5.637455112490333219e-07,-1.689012720448961492e-03,5.691676729199366723e-13,1.688448974935834917e-03,-1.912242121090708431e-12,6.685099123038772536e-16,-2.852103537037036299e-05,-8.852432501167439849e-02,2.983190084605650592e-11,8.849580397620468442e-02,-1.002212076498018594e-10
2.054461566768819164e-02,-3.805063769847830124e-01,-2.124735735792659605e-02,-3.239490701239209347e-01,1.079663124887766000e-09,-1.268094615289274696e+00,3.805063764729216813e-01,1.642605975497287282e-17,-6.085837814603435785e-07,-1.828841576777746978e-03,6.162888981819554265e-13,1.828232992994251660e-03,-2.070546229131901394e-12,6.324430463154177910e-16,-2.821961768031126233e-05,-8.843445799692918607e-02,2.980182094381970317e-11,8.840623837914939054e-02,-1.001187064001487135e-10
2.212497071904881776e-02,-3.805063769847830124e-01,-2.124735835481178503e-02,-3.239520707390363130e-01,1.079664136045875056e-09,-1.268091615671044670e+00,3.805063764729182951e-01,1.739538046381431566e-17,-6.529270970293736883e-07,-1.968528393057040245e-03,6.633625954679503263e-13,1.967875465957818776e-03,-2.228688286317162914e-12,5.938541928265263023e-16,-2.789457441140093220e-05,-8.834456779973924589e-02,2.977175245439766013e-11,8.831667322522819552e-02,-1.000161262514247077e-10
2.370532577040944736e-02,-3.805063769847830124e-01,-2.124735942135927771e-02,-3.239552919966563471e-01,1.079665221559595962e-09,-1.268088395479971986e+00,3.805063764729146314e-01,1.830176435708323955e-17,-6.967377465436252759e-07,-2.108073132283566718e-03,7.103887832371769896e-13,2.107376394534672941e-03,-2.386668168837355120e-12,5.528045984720172399e-16,-2.754542501062174975e-05,-8.825465394959032539e-02,2.974169591974308753e-11,8.822710852447990248e-02,-9.991346832629287544e-11
2.528568082177008042e-02,-3.805063769847830124e-01,-2.124736055669695228e-02,-3.239587336722188904e-01,1.079666381353861873e-09,-1.268084954939747266e+00,3.805063764729107456e-01,1.914137336104604223e-17,-7.399772285466401133e-07,-2.247475756680500456e-03,7.573674808369897834e-13,2.246735779449445664e-03,-2.544485754703614087e-12,5.093591136871883501e-16,-2.717165024801113105e-05,-8.816471593808720975e-02,2.971165192177830239e-11,8.813754428773919181e-02,-9.981073380564759433e-11
2.686603587313071001e-02,-3.805063769847830124e-01,-2.124736175989118403e-02,-3.239623955411017331e-01,1.079667615353637372e-09,-1.268081294274058468e+00,3.805063764729065823e-01,1.991047471859735952e-17,-7.826061906419964871e-07,-2.386736227637823067e-03,8.042987085657747988e-13,2.385953621444515324e-03,-2.702140923839035616e-12,4.635861657942949791e-16,-2.677269250418914186e-05,-8.807475321923513567e-02,2.968162108209775321e-11,8.804798052663077856e-02,-9.970792392817873892e-11
2.844639092449134307e-02,-3.805063769847830124e-01,-2.124736302994544024e-02,-3.239662773786209926e-01,1.079668923483920547e-09,-1.268077413706593548e+00,3.805063764729021969e-01,2.060544662079343497e-17,-8.245843690510800661e-07,-2.525854505653126695e-03,8.511824877354102670e-13,2.525029921281251623e-03,-2.859633558169666721e-12,4.155577321625444405e-16,-2.634795605710069541e-05,-8.798476520972083048e-02,2.965160406167132064e-11,8.795841725356334795e-02,-9.960503998993694581e-11
3.002674597585196919e-02,-3.805063769847830124e-01,-2.124736436579880219e-02,-3.239703789600293926e-01,1.079670305669742364e-09,-1.268073313461038465e+00,3.805063764728975340e-01,2.122278379602670339e-17,-8.658705286233892169e-07,-2.664830550272856771e-03,8.980188407332604753e-13,2.663964679741250268e-03,-3.016963541714814117e-12,3.653493134415247051e-16,-2.589680736797317066e-05,-8.789475128919238545e-02,2.962160156054850343e-11,8.786885448172383761e-02,-9.950208334390008053e-11
3.160710102721259879e-02,-3.805063769847830124e-01,-2.124736576632437965e-02,-3.239747000605150973e-01,1.079671761836171634e-09,-1.268068993761078289e+00,3.805063764728926490e-01,2.175910305695774502e-17,-9.064224032981360838e-07,-2.803664320033999284e-03,9.448077910837022720e-13,2.802757897627559426e-03,-3.174130760676671749e-12,3.130399068680043534e-16,-2.541857536649029468e-05,-8.780471080053875443e-02,2.959161431756335411e-11,8.777929222507145635e-02,-9.939905539954116489e-11
