time_s,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6
0.000000000000000000e+00,3.804964273917990081e-01,-2.123761160006770038e-02,-3.239228190795240270e-01,2.383402286978900166e-09,-1.268108665265869961e+00,-3.805142693487629790e-01,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.875543426902122095e-03,3.804964273918487461e-01,-2.123761160017911820e-02,-3.239228192659124317e-01,2.383402274387960546e-09,-1.268108665079605180e+00,-3.805142693487235661e-01,5.185124376254470739e-11,-1.162116262798757203e-10,-1.944068561951513705e-07,-1.313260352758476646e-14,1.942778547729903173e-07,4.112968753917306528e-11,3.604557294242692922e-08,-8.078714537803297880e-08,-1.351463534193573341e-04,-9.129428419728050502e-12,1.350566751561024553e-04,2.859223896501530154e-08
5.751086853804244191e-03,3.804964273921964124e-01,-2.123761160095838027e-02,-3.239228205695127150e-01,2.383402186326941605e-09,-1.268108663776869927e+00,-3.805142693484477312e-01,2.071975182311757793e-10,-4.643811889709516768e-10,-7.768496026021006223e-07,-5.247787057916247190e-14,7.763341134015765814e-07,1.643541902823454182e-10,7.198295507694259256e-08,-1.613315010130357789e-07,-2.698870646561108821e-04,-1.823145486669989385e-11,2.697079776060396297e-04,5.709865830808945174e-08
8.626630280706365853e-03,3.804964273931392138e-01,-2.123761160307148163e-02,-3.239228241044624368e-01,2.383401947533443430e-09,-1.268108660244265939e+00,-3.805142693476998850e-01,4.657278717694598162e-10,-1.043809879103701437e-09,-1.746162380326246404e-06,-1.179570450735215383e-13,1.745003692500466102e-06,3.694268537078997175e-10,1.078122547188470783e-07,-2.416325235509348663e-07,-4.042225389866009903e-04,-2.730610680488079095e-11,4.039543131427886517e-04,8.551934394695845619e-08
1.150217370760848838e-02,3.804964273949734688e-01,-2.123761160718241198e-02,-3.239228309815483930e-01,2.383401482971417466e-09,-1.268108653371743388e+00,-3.805142693462449377e-01,8.271316642216635650e-10,-1.853796579688149615e-09,-3.101180495130865031e-06,-2.094914499360443862e-13,3.099122675573433142e-06,6.561012703659733548e-10,1.435335801940986108e-07,-3.216891519758408320e-07,-5.381531811790490677e-04,-3.635341172098781868e-11,5.377960875688668702e-04,1.138543818073939368e-07
1.437771713451061091e-02,3.804964273979944411e-01,-2.123761161395314526e-02,-3.239228423082096686e-01,2.383400717830943591e-09,-1.268108642052597990e+00,-3.805142693438485768e-01,1.291098566943238685e-09,-2.893636384926561534e-09,-4.840740415983624472e-06,-3.270024871637890394e-13,4.837528313040613915e-06,1.024131279901441816e-09,1.791470398391993403e-07,-4.014998129990302517e-07,-6.716793954988472181e-04,-4.537339712425225747e-11,6.712337066962325953e-04,1.421038578231167310e-07
1.725326056141273171e-02,3.804964274024966731e-01,-2.123761162404360497e-02,-3.239228591885416342e-01,2.383399577527998089e-09,-1.268108625183467009e+00,-3.805142693402773224e-01,1.857318562830974102e-09,-4.162619134767301911e-09,-6.963679773618145296e-06,-4.704116378898923169e-13,6.959059022265507353e-06,1.473270969076651783e-09,2.146527420010800732e-07,-4.810624263353923372e-07,-8.048015857137372307e-04,-5.436609054618613732e-11,8.042675763461880085e-04,1.702678579357104251e-07
2.012880398831485423e-02,3.804964274087737630e-01,-2.123761163811167807e-02,-3.239228827232985553e-01,2.383397987704228659e-09,-1.268108601664326374e+00,-3.805142693352981942e-01,2.525481946352821352e-09,-5.660027964436253539e-09,-9.468837359110286628e-06,-6.396404624473104056e-13,9.462554387581718158e-06,2.003274671793906357e-09,2.500507950369850230e-07,-5.603744098396093259e-07,-9.375201550988549381e-04,-6.333151954035422999e-11,9.368981023492867341e-04,1.983464680945337193e-07
2.300434741521697676e-02,3.804964274171183658e-01,-2.123761165681317328e-02,-3.239229140098974224e-01,2.383395874226724461e-09,-1.268108570398487345e+00,-3.805142693286790445e-01,3.295279323577378397e-09,-7.385137868503321962e-09,-1.235505312246867146e-05,-8.346106004319118298e-13,1.234685516031941218e-05,2.613896969117693782e-09,2.853413073143540594e-07,-6.394326844749792815e-07,-1.069835506441605332e-03,-7.226971168215210286e-11,1.069125690545240544e-03,2.263397742566319525e-07
2.587989084211910276e-02,3.804964274278223035e-01,-2.123761168080180034e-02,-3.239229541424210601e-01,2.383393163187791117e-09,-1.268108530292592739e+00,-3.805142693201883919e-01,4.166401612203043713e-09,-9.337214278964658040e-09,-1.562116817123901098e-05,-1.055243770764942108e-12,1.561080325883155539e-05,3.304892689296666460e-09,3.205243872107036738e-07,-7.182336790884495607e-07,-1.201748042046352823e-03,-8.118069456859129755e-11,1.200950746782834680e-03,2.542478623866471580e-07
2.875543426902122182e-02,3.804964274411765102e-01,-2.123761171072913873e-02,-3.239230042116215125e-01,2.383389780904718692e-09,-1.268108480256613602e+00,-3.805142693095955320e-01,5.138540041586806721e-09,-1.151551165674603445e-08,-1.926602476912154608e-05,-1.301461771754880797e-12,1.925324176851983985e-05,4.076016907785345340e-09,3.556001431135065149e-07,-7.967733349660453953e-07,-1.333258163738894114e-03,-9.006449581809284498e-11,1.332373676919845241e-03,2.820708184567266105e-07
3.163097769592333741e-02,3.804964274574710315e-01,-2.123761174724461687e-02,-3.239230653049234854e-01,2.383385653919558353e-09,-1.268108419203846315e+00,-3.805142692966703155e-01,6.211386152772715209e-09,-1.391927209595963082e-08,-2.328846633460111381e-05,-1.573186481158723035e-12,2.327301494186047163e-05,4.927024947265578024e-09,3.905686834200678019e-07,-8.750471101435259105e-07,-1.464366272870692553e-03,-9.892114307028973719e-11,1.463394886822962093e-03,3.098087284464293346e-07
3.450652112282546341e-02,3.804964274769949695e-01,-2.123761179099545315e-02,-3.239231385064272328e-01,2.383380708998887037e-09,-1.268108346050909274e+00,-3.805142692811834260e-01,7.384631798519961837e-09,-1.654772394017482564e-08,-2.768733743958889286e-05,-1.870339856242699165e-12,2.766896819842966991e-05,5.857672377667710860e-09,4.254301165373988514e-07,-9.530499834477051592e-07,-1.595072770322844254e-03,-1.077506639858390539e-10,1.594014782367715686e-03,3.374616783426310255e-07
3.738206454972758941e-02,3.804964275000366491e-01,-2.123761184262663165e-02,-3.239232248969125538e-01,2.383374873133585766e-09,-1.268108259717738662e+00,-3.805142692629062129e-01,8.657969143330607923e-09,-1.940008040989400739e-08,-3.246148380807523993e-05,-2.192843933842475544e-12,3.243994812492902375e-05,6.867715016191488080e-09,4.601845508820888582e-07,-1.030776458244507798e-06,-1.725378056509764167e-03,-1.165530862462451400e-10,1.724233769438413737e-03,3.650297541394256875e-07
4.025760797662970847e-02,3.804964275268833407e-01,-2.123761190278084313e-02,-3.239233255538415124e-01,2.383368073538606382e-09,-1.268108159127586010e+00,-3.805142692416107475e-01,1.003109066347693003e-08,-2.247553824035637250e-08,-3.760975231479263470e-05,-2.540620830422858170e-12,3.758480247521054729e-05,7.956908927326654798e-09,4.948320948801718047e-07,-1.108220565870423330e-06,-1.855282531382556645e-03,-1.253284375536942723e-10,1.854052253928078781e-03,3.925130418380255249e-07
