time_s,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6
0.000000000000000000e+00,-3.805063769847830124e-01,-2.124735102936699954e-02,-3.239302426678459801e-01,1.079656780397650018e-09,-1.268113436416790085e+00,3.805063764729429976e-01,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.580355051360630026e-03,-3.805063769847830124e-01,-2.124735102943025450e-02,-3.239302428541899759e-01,1.079656780460443987e-09,-1.268113436230509317e+00,3.805063764729429976e-01,3.502277048288518144e-21,-1.200504852727315846e-10,-3.536497224154847395e-07,1.191722924369870266e-16,3.535296719298207705e-07,-4.003960765920525286e-16,4.430042651263176832e-18,-1.518524528448474441e-07,-4.473334125257262604e-04,1.507416657966947042e-13,4.471815600723865803e-04,-5.064631241131956710e-13
3.160710102721260052e-03,-3.805063769847830124e-01,-2.124735102987267144e-02,-3.239302441574795632e-01,1.079656780899624159e-09,-1.268113434927662153e+00,3.805063764729429976e-01,1.399500439495281839e-20,-4.797209752942690629e-10,-1.413183936490709099e-06,4.762123616551056835e-16,1.412704215513851248e-06,-1.599982318971460072e-15,8.846644372264228921e-18,-3.032481026791347277e-07,-8.933241524790954584e-04,3.010308807642857285e-13,8.930209043754278563e-04,-1.011406094519881993e-12
4.741065154081889645e-03,-3.805063769847830124e-01,-2.124735103107236456e-02,-3.239302476915867923e-01,1.079656782090541730e-09,-1.268113431394754631e+00,3.805063764729429976e-01,3.145669169248752648e-20,-1.078288088023896098e-09,-3.176481803056702664e-06,1.070405533284638516e-15,3.175403514965164775e-06,-3.596357539274197063e-15,1.324944944981490432e-17,-4.541848003080160694e-07,-1.337973561318300982e-03,4.508680988152871175e-13,1.337519376516512750e-03,-1.514830421987276298e-12
6.321420205442520104e-03,-3.805063769847830124e-01,-2.124735103340629275e-02,-3.239302545670337263e-01,1.079656784407418377e-09,-1.268113424521641663e+00,3.805063764729429976e-01,5.586509409862031750e-20,-1.915023686790899427e-09,-5.641424601591631002e-06,1.901037850824499092e-15,5.639509577898598063e-06,-6.387122931501424569e-15,1.763785918862620809e-17,-6.046586807626518878e-07,-1.781282978817399229e-03,6.002537745263631164e-13,1.780678320134665687e-03,-2.016737610102782907e-12
7.901775256803149697e-03,-3.805063769847830124e-01,-2.124735103725027344e-02,-3.239302658909955501e-01,1.079656788223348127e-09,-1.268113413201523709e+00,3.805063764729429976e-01,8.719683033650612798e-20,-2.989192182919672407e-09,-8.805895727573159352e-06,2.967396076686493478e-15,8.802906535380497914e-06,-9.969882060233378018e-15,2.201103451780598994e-17,-7.546641811623662983e-07,-2.223253743083844578e-03,7.491883631316256295e-13,2.222499078900222469e-03,-2.517129155350608617e-12
9.482130308163779289e-03,-3.805063769847830124e-01,-2.124735104297894445e-02,-3.239302827673044005e-01,1.079656793910298797e-09,-1.268113396330943665e+00,3.805063764729429421e-01,1.254270048848931631e-19,-4.300047866301240878e-09,-1.266778068985824153e-05,4.268767693229234226e-15,1.266348064197792616e-05,-1.434224084946435789e-14,2.636789861245576250e-17,-9.041940582042896316e-07,-2.663887190575651379e-03,8.976723205162626228e-13,2.662982996514499760e-03,-3.016006547188447245e-12
1.106248535952440888e-02,-3.805063769847830124e-01,-2.124735105096576052e-02,-3.239303062964523083e-01,1.079656801839111793e-09,-1.268113372809782424e+00,3.805063764729429421e-01,1.705288343289744534e-19,-5.846832263249719966e-09,-1.722496710808970666e-05,5.804440903782310304e-15,1.721912027580739941e-05,-1.950180757155910480e-14,3.070713953900356700e-17,-1.053239405188721520e-06,-3.103184656118119621e-03,1.045706103210593469e-12,3.102131416709497363e-03,-3.513371268124414095e-12
1.264284041088504021e-02,-3.805063769847830124e-01,-2.124735106158296208e-02,-3.239303375755946401e-01,1.079656812379505623e-09,-1.268113341541257322e+00,3.805063764729428866e-01,2.224732779161274593e-19,-7.628771520838865016e-09,-2.247534471012882647e-05,7.573704633661467856e-15,2.246771593858312040e-05,-2.544619283633100054e-14,3.502721293270786537e-17,-1.201789668490586319e-06,-3.541147472919993662e-03,1.193290168384642193e-12,3.539945683247585316e-03,-4.009224793794321509e-12
1.422319546224567154e-02,-3.805063769847830124e-01,-2.124735107520155444e-02,-3.239303776985535399e-01,1.079656825900074450e-09,-1.268113301431917250e+00,3.805063764729428311e-01,2.812286723739184436e-19,-9.645073816773932462e-09,-2.841680532951298659e-05,9.575848531175675554e-15,2.840716025566477436e-05,-3.217300958024279977e-14,3.932634471556910822e-17,-1.349832663389489873e-06,-3.977776972589010772e-03,1.340424973843319081e-12,3.976427139921219836e-03,-4.503568593039461709e-12
1.580355051360629939e-02,-3.805063769847830124e-01,-2.124735109219127657e-02,-3.239304277558210376e-01,1.079656842768290778e-09,-1.268113251391639329e+00,3.805063764729427755e-01,3.467603710606067341e-19,-1.189492679371746213e-08,-3.504724290293727800e-05,1.181016296862710717e-14,3.503534797610478494e-05,-3.967987305573066137e-14,4.360253386268774084e-17,-1.497354589172992684e-06,-4.413074485146731285e-03,1.487110978022304568e-12,4.411577130552675301e-03,-4.996404127985014480e-12
1.738390556496692899e-02,-3.805063769847830124e-01,-2.124735111292056292e-02,-3.239304888345626576e-01,1.079656863350506491e-09,-1.268113190333626905e+00,3.805063764729427200e-01,4.190303875309377046e-19,-1.437749501685434026e-08,-4.236455346775906683e-05,1.427593904330525697e-14,4.235017597269533817e-05,-4.796440082065288456e-14,4.785355522491324022e-17,-1.644340043429784269e-06,-4.847041339042575982e-03,1.633348639984711946e-12,4.845396998993781873e-03,-5.487732854119212546e-12
1.896426061632755858e-02,-3.805063769847830124e-01,-2.124735113775650872e-02,-3.239305620186203605e-01,1.079656888011953054e-09,-1.268113117174405335e+00,3.805063764729426090e-01,4.979970436122526533e-19,-1.709191745335134817e-08,-5.036663515952391956e-05,1.697246857847642533e-14,5.034954324201483029e-05,-5.702421272786416546e-14,5.207696241543534214e-17,-1.790772035451513200e-06,-5.279678861166985267e-03,1.779138419418622778e-12,5.277888089125690879e-03,-5.977556220373378167e-12
2.054461566768819164e-02,-3.805063769847830124e-01,-2.124735116706483185e-02,-3.239306483885162069e-01,1.079656917116744001e-09,-1.268113030833817767e+00,3.805063764729425535e-01,5.836146220978900309e-19,-2.003730497223979942e-08,-5.905138820951163673e-05,1.989904412437008200e-14,5.903135090447406835e-05,-6.685693091491738392e-14,5.627009076777837204e-17,-1.936631998664065830e-06,-5.710988376863637694e-03,1.924480776635571480e-12,5.709051744858654499e-03,-6.465875669202971489e-12
2.212497071904881776e-02,-3.805063769847830124e-01,-2.124735120120980689e-02,-3.239307490214556329e-01,1.079656951027875342e-09,-1.268112930235023139e+00,3.805063764729424425e-01,6.758330241764882208e-19,-2.321273786312608324e-08,-6.841671494230077235e-05,2.305495895916355541e-14,6.839350220436195239e-05,-7.746017979389395589e-14,6.043006037247073867e-17,-2.081899802011093853e-06,-6.140971209940634598e-03,2.069376172570059638e-12,6.138889310131828009e-03,-6.952692636669737494e-12
2.370532577040944736e-02,-3.805063769847830124e-01,-2.124735124055424779e-02,-3.239308649913303917e-01,1.079656990107226393e-09,-1.268112814304492852e+00,3.805063764729422759e-01,7.745974317271522022e-19,-2.661726337201474343e-08,-7.846051977335017865e-05,2.643950708996699179e-14,7.843390250989133717e-05,-8.883158604136562258e-14,6.455377919947463361e-17,-2.226553760214584756e-06,-6.569628682680588375e-03,2.213825068780180228e-12,6.567402128913101510e-03,-7.438008552525117151e-12
